Temp: 25.0°C, Hum: 69.7%, Suelo: 0.0%, Luz: 771, MQ5: 802
Temp: 0.0°C, Hum: 0.0%, Suelo: 25.1%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 68.7%, Suelo: 0.0%, Luz: 769, MQ5: 794
Temp: 0.0°C, Hum: 0.0%, Suelo: 24.7%, Luz: 0, MQ5: 0
Temp: 24.8°C, Hum: 69.1%, Suelo: 0.0%, Luz: 764, MQ5: 792
Temp: 0.0°C, Hum: 0.0%, Suelo: 24.3%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 69.8%, Suelo: 0.0%, Luz: 765, MQ5: 800
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.8%, Luz: 0, MQ5: 0
Temp: 25.0°C, Hum: 70.6%, Suelo: 0.0%, Luz: 768, MQ5: 807
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.7%, Luz: 0, MQ5: 0
Temp: 25.1°C, Hum: 71.0%, Suelo: 0.0%, Luz: 766, MQ5: 805
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.9%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 70.9%, Suelo: 0.0%, Luz: 767, MQ5: 799
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.7%, Luz: 0, MQ5: 0
Temp: 25.1°C, Hum: 71.1%, Suelo: 0.0%, Luz: 768, MQ5: 790
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.5%, Luz: 0, MQ5: 0
Temp: 25.2°C, Hum: 70.2%, Suelo: 0.0%, Luz: 763, MQ5: 789
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.4%, Luz: 0, MQ5: 0
Temp: 25.2°C, Hum: 70.8%, Suelo: 0.0%, Luz: 768, MQ5: 787
Temp: 0.0°C, Hum: 0.0%, Suelo: 23.0%, Luz: 0, MQ5: 0
Temp: 25.2°C, Hum: 71.4%, Suelo: 0.0%, Luz: 773, MQ5: 787
Temp: 0.0°C, Hum: 0.0%, Suelo: 22.9%, Luz: 0, MQ5: 0
Temp: 25.3°C, Hum: 71.5%, Suelo: 0.0%, Luz: 777, MQ5: 778
Temp: 0.0°C, Hum: 0.0%, Suelo: 22.7%, Luz: 0, MQ5: 0
Temp: 25.3°C, Hum: 72.5%, Suelo: 0.0%, Luz: 773, MQ5: 779
Temp: 0.0°C, Hum: 0.0%, Suelo: 22.4%, Luz: 0, MQ5: 0
